Season,GP,W,L,OT,Win %,Points,Point %,Playoff Round
2003-2004,6,2,4,0,0.333,0,0.0,1
2005-2006,5,1,4,0,0.2,0,0.0,1
2006-2007,5,1,4,0,0.2,0,0.0,1
2007-2008,6,2,4,0,0.333,0,0.0,1
2009-2010,6,2,4,0,0.333,0,0.0,1
2010-2011,12,6,6,0,0.5,0,0.0,2
2011-2012,10,5,5,0,0.5,0,0.0,2
2014-2015,6,2,4,0,0.333,0,0.0,1
2015-2016,14,7,7,0,0.5,0,0.0,2
2016-2017,22,14,8,0,0.636,0,0.0,4
2017-2018,13,7,6,0,0.538,14,0.538,2
2018-2019,6,2,4,0,0.333,4,0.333,1
2019-2020,4,1,3,0,0.25,0,0.0,
2020-2021,6,2,4,0,0.333,0,0.0,1
2021-2022,4,0,4,0,0.0,0,0.0,1
