GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Julien Brisebois,0.64,0.641,0.639,0.64,48,4,2,Tampa Bay Lightning
Chuck Fletcher,0.625,0.5,0.75,0.625,10,1,0,Philadelphia Flyers
Pierre Dorion,0.579,0.667,0.5,0.579,11,1,0,Ottawa Senators
Steve Yzerman,0.573,0.548,0.6,0.573,47,8,0,Tampa Bay Lightning
Lou Lamoriello,0.571,0.609,0.538,0.571,28,3,0,New York Islanders
Kelly McCrimmon,0.564,0.619,0.5,0.564,22,2,0,Vegas Golden Knights
Ken Holland,0.556,0.629,0.486,0.556,119,19,3,Detroit Red Wings
Lou Lamoriello,0.54,0.584,0.496,0.54,136,25,3,New Jersey Devils
Jim Nill,0.515,0.484,0.543,0.515,34,9,0,Dallas Stars
Don Waddell,0.5,0.68,0.304,0.5,24,4,0,Carolina Hurricanes
Chris Drury,0.5,0.8,0.2,0.5,10,1,0,New York Rangers
Brian MacLellan,0.494,0.533,0.455,0.5,44,8,1,Washington Capitals
Don Sweeney,0.493,0.486,0.5,0.493,36,6,0,Boston Bruins
Doug Armstrong,0.459,0.4,0.519,0.463,50,11,1,St. Louis Blues
David Poile,0.448,0.492,0.404,0.448,52,14,0,Washington Capitals
David Poile,0.432,0.54,0.323,0.432,54,19,0,Nashville Predators
Kyle Dubas,0.423,0.357,0.5,0.423,11,4,0,Toronto Maple Leafs
Kevin Cheveldayoff,0.41,0.35,0.474,0.41,16,7,0,Winnipeg Jets
Jarmo Kekalainen,0.405,0.353,0.45,0.405,15,7,0,Columbus Blue Jackets
Lou Lamoriello,0.385,0.5,0.286,0.385,5,2,0,Toronto Maple Leafs
Ron Hextall,0.385,0.5,0.286,0.385,5,2,0,Pittsburgh Penguins
Brad Treliving,0.381,0.5,0.25,0.381,16,8,0,Calgary Flames
Doug Armstrong,0.379,0.357,0.4,0.379,11,5,0,Dallas Stars
Ken Holland,0.375,0.417,0.333,0.375,9,3,0,Edmonton Oilers
Bill Zito,0.375,0.375,0.375,0.375,6,2,0,Florida Panthers
Bill Guerin,0.353,0.25,0.444,0.353,6,3,0,Minnesota Wild
Chuck Fletcher,0.341,0.476,0.217,0.341,15,6,0,Minnesota Wild
Ron Hextall,0.333,0.167,0.5,0.333,4,3,0,Philadelphia Flyers
Rob Blake,0.273,0.2,0.333,0.273,3,5,0,Los Angeles Kings
Don Waddell,0.0,0.0,0.0,0.0,0,1,0,Atlanta Thrashers
